Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659849617.2475626, 55.0, 55.0, 5.0, 5000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_16 (V),IsCH_16 (A),TsCH_16 (s)
55.0,54.7481,0.02230,5.66377e+01,1.83974e-06,1659850102.3722694
55.0,54.7477,0.02230,5.66343e+01,1.89046e-06,1659850104.3973935
55.0,54.7469,0.02230,5.66369e+01,1.83345e-06,1659850106.4263456
55.0,54.7474,0.02230,5.66369e+01,1.84224e-06,1659850108.4643304
55.0,54.7473,0.02230,5.66365e+01,1.84653e-06,1659850110.4931922
55.0,54.7473,0.02230,5.66363e+01,1.85077e-06,1659850112.5176692
55.0,54.7469,0.02230,5.66359e+01,1.84992e-06,1659850114.5577428
55.0,54.7473,0.02230,5.66375e+01,1.82982e-06,1659850116.5867586
55.0,54.7463,0.02230,5.66361e+01,1.83767e-06,1659850118.611815
55.0,54.7468,0.02230,5.66367e+01,1.83595e-06,1659850120.6501598
55.0,54.7472,0.02230,5.66370e+01,1.83679e-06,1659850122.680333
55.0,54.7481,0.02230,5.66373e+01,1.84655e-06,1659850124.717786
55.0,54.7457,0.02230,5.66356e+01,1.83621e-06,1659850126.7574337
55.0,54.7469,0.02230,5.66336e+01,1.88948e-06,1659850128.7766073
55.0,54.747,0.02230,5.66338e+01,1.88746e-06,1659850130.798509
55.0,54.7463,0.02230,5.66328e+01,1.89151e-06,1659850132.8124282
55.0,54.7476,0.02230,5.66332e+01,1.90718e-06,1659850134.8373044
55.0,54.745,0.02230,5.66306e+01,1.90731e-06,1659850136.8503034
55.0,54.7477,0.02230,5.66337e+01,1.89973e-06,1659850138.8822067
55.0,54.7464,0.02230,5.66461e+01,1.67132e-06,1659850140.9080331
55.0,54.7468,0.02230,5.66461e+01,1.67912e-06,1659850142.9420474
55.0,54.7473,0.02230,5.66463e+01,1.68296e-06,1659850144.9721086
55.0,54.7473,0.02230,5.66341e+01,1.88647e-06,1659850147.005134
55.0,54.7468,0.02230,5.66326e+01,1.90442e-06,1659850149.0357535
55.0,54.7471,0.02230,5.66336e+01,1.89194e-06,1659850151.058898
55.0,54.7472,0.02230,5.66334e+01,1.89737e-06,1659850153.0877712
55.0,54.7471,0.02230,5.66337e+01,1.89071e-06,1659850155.1179738
55.0,54.7469,0.02230,5.66331e+01,1.89751e-06,1659850157.1446478
55.0,54.7463,0.02230,5.66325e+01,1.89651e-06,1659850159.1796763
55.0,54.7462,0.02230,5.66331e+01,1.88582e-06,1659850161.2095091
55.0,54.7476,0.02230,5.66337e+01,1.89818e-06,1659850163.240943
55.0,54.7463,0.02230,5.66321e+01,1.90309e-06,1659850165.27141
55.0,54.7472,0.02230,5.66328e+01,1.90769e-06,1659850167.2961545
55.0,54.7471,0.02230,5.66339e+01,1.88737e-06,1659850169.3360717
55.0,54.7469,0.02230,5.66323e+01,1.91065e-06,1659850171.3644526
55.0,54.7468,0.02230,5.66330e+01,1.89666e-06,1659850173.3853369
55.0,54.7467,0.02230,5.66325e+01,1.90383e-06,1659850175.4077556
55.0,54.7465,0.02230,5.66328e+01,1.89605e-06,1659850177.4439902
55.0,54.7475,0.02230,5.66340e+01,1.89243e-06,1659850179.4807682
55.0,54.7459,0.02230,5.66350e+01,1.84815e-06,1659850181.5082858
55.0,54.7469,0.02230,5.66360e+01,1.84829e-06,1659850183.536786
55.0,54.7464,0.02230,5.66317e+01,1.91298e-06,1659850185.563672
55.0,54.7464,0.02230,5.66326e+01,1.89686e-06,1659850187.5998178
55.0,54.7467,0.02230,5.66326e+01,1.90191e-06,1659850189.6388626
55.0,54.747,0.02230,5.66328e+01,1.90440e-06,1659850191.6638055
55.0,54.7466,0.02230,5.66323e+01,1.90551e-06,1659850193.6998527
55.0,54.7467,0.02230,5.66328e+01,1.89919e-06,1659850195.735059
55.0,54.7467,0.02230,5.66321e+01,1.90984e-06,1659850197.769569
55.0,54.7472,0.02230,5.66324e+01,1.91361e-06,1659850199.805675
55.0,54.7457,0.02230,5.66304e+01,1.92172e-06,1659850201.8322043
55.0,54.7464,0.02230,5.66347e+01,1.86268e-06,1659850203.8308733
55.0,54.7466,0.02230,5.66347e+01,1.86489e-06,1659850205.852593
55.0,54.7466,0.02230,5.66349e+01,1.86291e-06,1659850207.8679476
55.0,54.7467,0.02230,5.66356e+01,1.85160e-06,1659850209.8878498
55.0,54.7468,0.02230,5.66316e+01,1.91996e-06,1659850211.9013598
55.0,54.7463,0.02230,5.66316e+01,1.91287e-06,1659850213.9167614
55.0,54.7473,0.02230,5.66323e+01,1.91639e-06,1659850215.9319859
55.0,54.7466,0.02230,5.66350e+01,1.86051e-06,1659850217.94754
55.0,54.7466,0.02230,5.66347e+01,1.86528e-06,1659850219.9749255
55.0,54.7457,0.02230,5.66312e+01,1.90963e-06,1659850221.984139
55.0,54.7453,0.02230,5.66302e+01,1.91869e-06,1659850224.0041308
55.0,54.7476,0.02230,5.66358e+01,1.86371e-06,1659850226.0171838
