Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH1 Source
1,1,304,45.00000E-006,377.45500E-015,56.19716E+000,0.00000E+000
1,1,305,38.00000E-006,378.82600E-015,56.40230E+000,0.00000E+000
1,1,306,-13.00000E-006,376.29200E-015,56.57647E+000,0.00000E+000
1,1,307,-11.00000E-006,372.34300E-015,56.75671E+000,0.00000E+000
1,1,308,38.00000E-006,376.45900E-015,56.96954E+000,0.00000E+000
1,1,309,50.00000E-006,379.38300E-015,57.14912E+000,0.00000E+000
1,1,310,-8.00000E-006,379.58200E-015,57.32313E+000,0.00000E+000
1,1,311,54.00000E-006,388.59800E-015,57.53486E+000,0.00000E+000
1,1,312,-17.00000E-006,390.84500E-015,57.70888E+000,0.00000E+000
1,1,313,53.00000E-006,390.18500E-015,57.88432E+000,0.00000E+000
1,1,314,53.00000E-006,395.89800E-015,58.10218E+000,0.00000E+000
1,1,315,39.00000E-006,404.96500E-015,58.28216E+000,0.00000E+000
1,1,316,13.00000E-006,416.16500E-015,58.45617E+000,0.00000E+000
1,1,317,19.00000E-006,434.07200E-015,58.66447E+000,0.00000E+000
1,1,318,28.00000E-006,447.52900E-015,58.83849E+000,0.00000E+000
1,1,319,-6.00000E-006,457.27400E-015,59.01251E+000,0.00000E+000
1,1,320,26.00000E-006,470.45900E-015,59.23216E+000,0.00000E+000
1,1,321,12.00000E-006,480.61700E-015,59.40737E+000,0.00000E+000
1,1,322,13.00000E-006,497.31000E-015,59.58138E+000,0.00000E+000
1,1,323,14.00000E-006,515.74700E-015,59.79061E+000,0.00000E+000
1,1,324,9.00000E-006,522.43900E-015,59.96468E+000,0.00000E+000
1,1,325,29.00000E-006,521.63900E-015,60.13938E+000,0.00000E+000
1,1,326,-11.00000E-006,528.02400E-015,60.36144E+000,0.00000E+000
1,1,327,43.00000E-006,530.61000E-015,60.53545E+000,0.00000E+000
1,1,328,-3.00000E-006,530.49600E-015,60.70985E+000,0.00000E+000
1,1,329,40.00000E-006,527.44400E-015,60.91892E+000,0.00000E+000
1,1,330,-8.00000E-006,535.14300E-015,61.09454E+000,0.00000E+000
1,1,331,35.00000E-006,541.02800E-015,61.26864E+000,0.00000E+000
1,1,332,32.00000E-006,543.62300E-015,61.48933E+000,0.00000E+000
1,1,333,13.00000E-006,545.72200E-015,61.66605E+000,0.00000E+000
1,1,334,-2.00000E-006,545.25300E-015,61.84450E+000,0.00000E+000
1,1,335,35.00000E-006,541.85500E-015,62.05394E+000,0.00000E+000
1,1,336,2.00000E-006,542.22100E-015,62.22796E+000,0.00000E+000
1,1,337,30.00000E-006,554.24000E-015,62.40198E+000,0.00000E+000
1,1,338,1.00000E-006,550.81300E-015,62.62887E+000,0.00000E+000
1,1,339,29.00000E-006,553.52600E-015,62.80290E+000,0.00000E+000
1,1,340,9.00000E-006,553.16200E-015,62.97690E+000,0.00000E+000
1,1,341,7.00000E-006,553.18600E-015,63.17744E+000,0.00000E+000
1,1,342,23.00000E-006,548.54700E-015,63.35147E+000,0.00000E+000
1,1,343,18.00000E-006,543.50500E-015,63.52547E+000,0.00000E+000
1,1,344,20.00000E-006,538.35100E-015,63.74125E+000,0.00000E+000
1,1,345,12.00000E-006,542.81700E-015,63.91535E+000,0.00000E+000
1,1,346,16.00000E-006,552.66700E-015,64.09250E+000,0.00000E+000
1,1,347,7.00000E-006,557.75700E-015,64.31226E+000,0.00000E+000
1,1,348,23.00000E-006,563.56600E-015,64.48656E+000,0.00000E+000
1,1,349,11.00000E-006,563.88100E-015,64.66059E+000,0.00000E+000
1,1,350,20.00000E-006,572.89300E-015,64.87461E+000,0.00000E+000
1,1,351,12.00000E-006,580.84600E-015,65.04864E+000,0.00000E+000
1,1,352,20.00000E-006,585.81800E-015,65.22419E+000,0.00000E+000
1,1,353,15.00000E-006,598.72900E-015,65.45027E+000,0.00000E+000
1,1,354,18.00000E-006,607.58400E-015,65.62582E+000,0.00000E+000
1,1,355,17.00000E-006,611.36400E-015,65.79990E+000,0.00000E+000
1,1,356,15.00000E-006,624.58300E-015,66.01245E+000,0.00000E+000
1,1,357,21.00000E-006,636.63000E-015,66.18856E+000,0.00000E+000
1,1,358,13.00000E-006,645.03600E-015,66.36260E+000,0.00000E+000
1,1,359,17.00000E-006,657.76900E-015,66.59357E+000,0.00000E+000
1,1,360,18.00000E-006,673.00300E-015,66.76759E+000,0.00000E+000
1,1,361,17.00000E-006,686.50600E-015,66.94279E+000,0.00000E+000
